x,y,z
-6.481640,100.800002,-6.529181
-12.792125,105.300009,-6.527752
-3.534345,83.200002,-6.524190
-5.072160,86.200005,-6.523582
-11.023187,83.300006,-6.523511
-6.716552,86.200005,-6.522120
-7.527654,96.600002,-6.519353
-7.484117,92.800003,-6.515546
-17.828241,109.900010,-6.507623
-6.722888,100.300002,-6.496593
-14.208676,109.600008,-6.494690
-10.820322,100.300002,-6.492647
-4.194710,82.800007,-6.492393
-2.610868,82.700002,-6.485441
-12.422659,104.600000,-6.484703
-2.382397,82.600003,-6.477693
-10.094915,96.000004,-6.476130
-2.504751,95.900005,-6.475157
-5.061872,99.900007,-6.471774
-13.847321,109.100008,-6.465426
-5.257883,85.400003,-6.462854
-10.937152,92.100006,-6.462301
-6.954411,99.700004,-6.457521
-9.673991,92.000002,-6.456900
-11.797013,104.100001,-6.454376
-10.484304,99.700004,-6.454119
-12.080166,104.100001,-6.454045
-4.231745,99.600005,-6.452772
-2.397586,91.800004,-6.448600
-10.182241,99.400002,-6.435002
-4.755870,99.200004,-6.426577
-9.751714,95.200002,-6.422464
-9.871807,99.000007,-6.409403
-6.830408,84.700006,-6.408390
-4.471754,98.900002,-6.407285
-2.133570,81.700003,-6.407197
-13.426536,108.100009,-6.406521
-9.470947,87.800002,-6.400971
-2.768921,87.700003,-6.399488
-11.414278,103.200006,-6.398898
-3.116531,98.700005,-6.394922
-7.153644,98.700005,-6.392536
-9.573212,98.700005,-6.390268
-7.064514,87.600005,-6.389140
-9.442746,94.700003,-6.389026
-3.920309,98.600006,-6.388111
-7.629529,94.600004,-6.384140
-2.841484,98.500007,-6.382056
-3.981784,78.600001,-6.377234
-11.079553,102.700007,-6.368210
-7.392523,98.300004,-6.366408
-17.655745,112.600005,-6.361868
-2.652008,84.000003,-6.358455
-9.257364,98.200005,-6.358176
-3.365213,98.100007,-6.355946
-17.929333,112.400007,-6.350151
-10.768542,102.400005,-6.349915
-7.636987,98.000002,-6.346750
-1.828770,78.200006,-6.345897
-10.331184,87.000006,-6.341368
-16.374871,112.200010,-6.340888
-17.288567,112.200010,-6.339681
-10.469369,102.200007,-6.337813
-3.621719,97.800004,-6.336399
-4.313689,80.800003,-6.335416
-16.664621,112.100005,-6.334839
-2.503718,86.800003,-6.333906
-16.041557,112.000000,-6.329976
-16.953778,112.000000,-6.328786
-10.171249,102.000010,-6.325703
-16.839391,102.100003,-6.323205
-5.719116,101.900005,-6.323195
-3.819527,75.400001,-6.323025
-9.105876,86.600006,-6.313789
-9.874178,101.800001,-6.313585
-5.430574,101.700008,-6.310951
-5.985187,101.700008,-6.310611
-9.310667,101.700008,-6.307932
-9.587591,101.700008,-6.307661
-15.436672,93.600005,-6.306181
-15.667127,111.500001,-6.302102
-7.847527,97.300005,-6.301183
-9.015945,101.500010,-6.295791
-9.049176,93.300003,-6.294857
-15.336701,111.300004,-6.291176
-2.533562,97.000003,-6.284951
-2.175270,93.000007,-6.279425
-14.993802,111.000001,-6.274591
-18.007113,111.000001,-6.270640
-12.853211,105.800009,-6.270553
-14.678960,110.900009,-6.269304
-5.117764,100.999999,-6.267668
-5.323498,82.800007,-6.265908
-2.385369,82.700002,-6.260141
-8.687837,100.900006,-6.258828
-6.207040,100.800002,-6.254585
-14.325716,110.500002,-6.247051
-15.931863,96.600002,-6.245451
-10.482000,82.600003,-6.244558
-8.300126,96.400005,-6.242412
-4.818342,100.500000,-6.236789
-9.095851,88.800007,-6.232606
-11.338782,105.100000,-6.230672
-13.987294,110.200000,-6.230443
-11.042268,105.000007,-6.225046
-6.449683,100.300002,-6.223373
-8.012535,96.100003,-6.223231
-10.746254,104.900002,-6.219412
