x,y,z
45.141536,79.700005,-7.741638
29.374781,77.800006,-7.741412
5.623193,106.100011,-7.740910
5.912478,106.100011,-7.740710
42.966071,79.800004,-7.739899
43.440309,84.600002,-7.738474
5.328861,106.000006,-7.733804
30.814070,79.900002,-7.733324
32.407686,73.700005,-7.730369
30.384502,77.700001,-7.730298
32.207790,73.700005,-7.730279
43.622071,84.500003,-7.730045
5.035054,105.900002,-7.726688
6.478739,105.900002,-7.725690
45.008850,81.900007,-7.725327
34.122413,77.600002,-7.719237
42.872536,84.400004,-7.718827
45.386967,84.300005,-7.718533
7.049385,105.800009,-7.717931
46.935186,79.300004,-7.716062
40.874293,79.600006,-7.712918
28.345209,73.500001,-7.710764
29.138377,73.500001,-7.709999
30.933657,77.500004,-7.709865
30.528244,73.500001,-7.709218
0.952197,101.800001,-7.706460
32.513082,179.800010,-7.706255
31.113636,75.400001,-7.704471
6.748235,105.599999,-7.703577
46.425444,79.200006,-7.703118
35.273737,73.400003,-7.702690
34.138909,79.600006,-7.702474
8.187079,105.599999,-7.702300
3.170931,101.700008,-7.698290
31.990302,179.600012,-7.698233
43.236804,77.100003,-7.696275
37.746972,81.800002,-7.695391
30.231175,79.500002,-7.695092
35.291019,71.400005,-7.688697
36.639720,79.400003,-7.684644
32.908377,179.300010,-7.684270
34.268180,79.400003,-7.683145
42.438197,84.000003,-7.681612
31.022316,77.200001,-7.679871
36.912745,75.100005,-7.679428
33.375379,179.200006,-7.679427
43.692270,79.100001,-7.677265
3.438172,101.400006,-7.675461
36.809519,79.300004,-7.675223
45.584333,83.800006,-7.674742
44.884849,83.800006,-7.671805
42.369255,79.100001,-7.671048
34.530342,77.100003,-7.669859
32.857960,77.100003,-7.669272
41.191778,76.900005,-7.666504
35.742173,77.000004,-7.661165
39.094663,79.100001,-7.660173
34.694728,77.000004,-7.660069
36.609161,74.900001,-7.658482
4.701436,104.900002,-7.653894
36.954883,76.900005,-7.653239
37.737614,81.300002,-7.648604
30.680001,79.000002,-7.645994
31.275570,178.300011,-7.643054
28.338787,71.000004,-7.639787
43.336383,83.500004,-7.639303
36.102369,74.700004,-7.637119
37.132707,72.700006,-7.635269
34.480020,78.900003,-7.634862
30.421066,74.700004,-7.633128
37.203240,81.100005,-7.629307
44.904169,78.500003,-7.627738
32.165229,72.700006,-7.625588
34.222731,78.800005,-7.625126
33.582461,78.800005,-7.625057
44.241124,78.500003,-7.623798
43.923825,83.300006,-7.623387
48.077345,78.200006,-7.623339
43.693203,83.300006,-7.622565
36.183044,76.600003,-7.622273
8.386482,104.500008,-7.621788
43.462789,83.300006,-7.621771
2.398492,104.300010,-7.611108
34.477428,80.900002,-7.609259
44.048655,83.100003,-7.605933
2.680471,104.200006,-7.603721
33.523384,74.400002,-7.602883
33.520526,177.400005,-7.601733
34.216142,80.800003,-7.599867
44.225886,83.000004,-7.597659
42.462522,76.100004,-7.595244
30.057478,74.300003,-7.592370
34.586701,76.300001,-7.590608
2.107851,104.000008,-7.589296
44.061962,75.900006,-7.585917
35.117152,76.100004,-7.571360
39.736655,80.400002,-7.568143
34.386158,78.200006,-7.567202
4.364836,103.700006,-7.566495
36.107087,76.000005,-7.562913
43.247434,77.900004,-7.561929
32.539508,74.000001,-7.561482
35.827258,78.100002,-7.558593
33.736318,70.200002,-7.557108
28.537226,65.300006,-7.556416
43.628126,77.800006,-7.554584
43.673787,75.600004,-7.554483
33.498967,73.900002,-7.551967
34.933269,78.000003,-7.548189
43.879464,85.000002,-7.545232
28.415373,75.800002,-7.542668
29.086459,71.900004,-7.541746
33.703020,80.100006,-7.534059
34.353337,80.100006,-7.534014
47.078738,77.300006,-7.531818
28.885201,70.000005,-7.531659
33.492315,75.700003,-7.530335
34.421322,77.800006,-7.528590
47.239998,77.200001,-7.523942
43.287605,75.300002,-7.523097
27.590391,73.600006,-7.522994
35.298321,75.600004,-7.522148
36.278537,77.700001,-7.520636
44.888511,82.100004,-7.520071
35.009968,77.700001,-7.519308
40.597957,75.400001,-7.517905
41.302791,82.200003,-7.516413
34.117794,73.500001,-7.512008
44.140300,84.600002,-7.511196
29.158509,71.600002,-7.510170
43.967336,79.600006,-7.509464
43.439612,84.600002,-7.509030
45.033976,77.200001,-7.507086
43.130907,77.300006,-7.504842
34.588891,75.400001,-7.501481
37.349519,175.100005,-7.498085
0.655887,99.000007,-7.494524
